Adj Close,Volume,macd,macd_h,macd_s
0.728580415,187348000,-0.020163892,-0.01029611,-0.009867783
0.710531592,176674400,-0.022171713,-0.009843145,-0.012328569
0.721930504,379640800,-0.022582809,-0.008203392,-0.014379417
0.722880542,251714400,-0.022571751,-0.006553868,-0.016017884
0.724780917,238056000,-0.022154263,-0.004909104,-0.01724516
0.715281427,156660000,-0.022332495,-0.004069869,-0.018262627
0.709581792,114200800,-0.022672306,-0.003527744,-0.019144563
0.737128913,143673600,-0.020482675,-0.00107049,-0.019412185
0.781775177,270900000,-0.014972206,0.003551984,-0.018524189
0.759927094,190176000,-0.01222713,0.005037647,-0.017264777
0.767526686,134467200,-0.009330854,0.006347139,-0.015677993
0.785574555,276802400,-0.005515641,0.008129881,-0.013645522
0.825470865,236863200,0.000718954,0.011491581,-0.010772627
0.852780461,310766400,0.007773958,0.014837268,-0.00706331
0.863467336,334460000,0.014065305,0.016902892,-0.002837587
0.882464767,359004800,0.020349599,0.018549749,0.00179985
0.899564147,267030400,0.02640534,0.019684392,0.006720948
0.904313266,285392800,0.031227798,0.01960548,0.011622318
0.926161706,419596800,0.0363931,0.019816626,0.016576474
0.964157879,256872000,0.043056287,0.02118385,0.021872437
0.948958755,298642400,0.046573597,0.019760928,0.026812669
0.888164997,355404000,0.043948926,0.013709006,0.03023992
0.942309797,217464800,0.045710961,0.012376833,0.033334129
0.894813657,195518400,0.042781684,0.007558045,0.03522364
0.888164997,187381600,0.039468749,0.003396087,0.036072662
0.877715707,187997600,0.035589796,-0.000386292,0.035976089
0.881515145,305984000,0.032448238,-0.00282228,0.035270518
0.864179611,426552000,0.028234232,-0.00562903,0.033863261
0.839481771,394514400,0.022640704,-0.008978046,0.03161875
0.921886384,424536000,0.024573884,-0.005635893,0.030209776
0.910963237,271510400,0.024937077,-0.00421816,0.029155236
0.927823663,227388000,0.026282438,-0.002298239,0.028580677
0.861567497,510490400,0.021751589,-0.00546327,0.027214859
0.793174326,726700800,0.012498031,-0.011773462,0.024271494
0.813121974,435551200,0.006696931,-0.01405965,0.020756581
0.781775177,290936800,-0.000425009,-0.016945272,0.016520263
0.743778825,402259200,-0.00903108,-0.020441075,0.011409994
0.813121974,979585600,-0.010139163,-0.017239326,0.007100163
0.39136216,7421640800,-0.044536431,-0.041309275,-0.003227156
0.368564963,2424788800,-0.0727969,-0.055655795,-0.017141105
0.339117944,2038120000,-0.096457748,-0.063453315,-0.033004433
0.359065682,1466024000,-0.112304944,-0.063440408,-0.048864535
0.335317641,873006400,-0.12533544,-0.061176723,-0.064158716
0.337217391,612656800,-0.133964647,-0.055844744,-0.078119902
0.330568492,597564800,-0.139729155,-0.049287402,-0.090441753
0.317269742,691101600,-0.143714022,-0.042617815,-0.101096207
0.29827109,1198422400,-0.146713864,-0.036494126,-0.110219738
0.303971022,1191064000,-0.14693752,-0.029374225,-0.117563295
0.335317641,1247752800,-0.142937661,-0.020299493,-0.122638168
0.326769054,820176000,-0.138856889,-0.012974977,-0.125881912
0.305870712,601720000,-0.135744392,-0.007889984,-0.127854408
0.305870712,834265600,-0.131758881,-0.003123578,-0.128635303
0.287822723,1506724800,-0.12857453,4.86E-05,-0.128623148
0.296371371,791263200,-0.123932488,0.003752528,-0.127685016
0.30967012,551292000,-0.117822355,0.007890129,-0.125712484
0.286872774,804451200,-0.113511101,0.009761106,-0.123272207
0.281172782,663969600,-0.109294464,0.011182195,-0.120476659
0.281172782,721851200,-0.10474531,0.012585079,-0.117330389
0.282122821,744503200,-0.099911693,0.013934957,-0.11384665
0.293521792,639189600,-0.094076757,0.015815914,-0.109892671
0.297321111,885880800,-0.088130046,0.0174101,-0.105540146
0.311569721,575366400,-0.08132997,0.019368141,-0.100698111
0.339117944,590693600,-0.072877859,0.022256202,-0.09513406
0.338167071,515821600,-0.06550117,0.023706312,-0.089207482
0.325819105,393478400,-0.059960284,0.023397758,-0.083358043
0.3239187,301963200,-0.055087426,0.022616494,-0.077703919
0.304920852,422088800,-0.05215738,0.020437232,-0.072594611
0.306820512,476834400,-0.049115834,0.018783022,-0.067898856
0.289722413,422251200,-0.047537083,0.016289419,-0.063826501
0.294471681,431816000,-0.045379577,0.014757539,-0.060137117
0.307770312,409001600,-0.042111218,0.014420719,-0.056531937
0.302071273,282357600,-0.039525263,0.013605339,-0.053130602
0.288772523,239372000,-0.038109667,0.012016748,-0.050126415
0.281172782,446180000,-0.037172532,0.010363107,-0.047535638
0.287822723,408066400,-0.035484211,0.009641142,-0.045125353
0.285922974,301952000,-0.03390862,0.008973386,-0.042882006
0.281172782,280532000,-0.032666693,0.008172251,-0.040838944
0.293521792,160932800,-0.030336297,0.008402117,-0.038738414
0.284022391,258792800,-0.028922562,0.007852682,-0.036775244
0.274049073,269124800,-0.028280926,0.006795455,-0.03507638
0.266924292,492150400,-0.028024288,0.005641674,-0.033665962
0.250776082,809597600,-0.02879203,0.003899146,-0.032691175
0.259325534,385705600,-0.028383415,0.003446208,-0.031829623
0.253625602,371520800,-0.028194513,0.002908088,-0.031102601
0.25837484,613978400,-0.027346351,0.003005,-0.030351351
0.21752888,1374464000,-0.029628565,0.000578229,-0.030206794
0.21752888,408917600,-0.031078976,-0.000697746,-0.03038123
0.228927776,435624000,-0.030951849,-0.000456495,-0.030495354
0.230827585,332511200,-0.030347968,0.000117909,-0.030465877
0.233677983,386260000,-0.029301614,0.00093141,-0.030233024
0.227978021,344887200,-0.028602597,0.001304342,-0.029906939
0.219429404,263317600,-0.02841092,0.001196815,-0.029607735
0.213729486,513945600,-0.028391669,0.000972853,-0.029364522
0.21657899,325808000,-0.027825723,0.001231039,-0.029056762
0.212779611,374007200,-0.027368301,0.001350769,-0.02871907
0.218478635,565331200,-0.026243409,0.001980529,-0.028223938
0.213729486,366844800,-0.025441862,0.00222566,-0.027667523
0.227978021,318052000,-0.023387299,0.003424179,-0.026811478
0.223228797,216815200,-0.021889932,0.003937236,-0.025827169
0.225128412,325466400,-0.020315788,0.004409105,-0.024724893
0.225128412,305177600,-0.018850964,0.004699143,-0.023550107
0.226078317,630336000,-0.017412709,0.004909918,-0.022322627
0.226078317,452312000,-0.016087435,0.004988154,-0.021075589
0.248876244,817073600,-0.013047145,0.006422755,-0.0194699
0.259325534,739396000,-0.009682904,0.007829597,-0.017512501
0.248876244,412356000,-0.007770318,0.007793747,-0.015564064
0.251725882,373699200,-0.005955981,0.007686467,-0.013642448
0.261225224,588929600,-0.003708835,0.00794689,-0.011655725
0.251725882,580781600,-0.002663767,0.007193567,-0.009857333
0.273574144,803734400,-7.17E-05,0.007828472,-0.007900215
0.261225224,423376800,0.000974762,0.007099982,-0.00612522
0.260275424,306118400,0.001707798,0.006266415,-0.004558616
0.255525261,840873600,0.001883722,0.005153871,-0.003270148
0.284022391,1227010400,0.004273362,0.006034809,-0.001761446
0.296371371,776664000,0.007081992,0.007074751,7.24E-06
0.292571992,519327200,0.008898695,0.007113163,0.001785532
0.311569721,879530400,0.011736116,0.007960467,0.003775649
